id,texto,publico,macronarrativa,pauta,tipo,forca,base,despersonalizado,origem_lista,duplicado_de,link,alerta,pagina,id_documento
D01-TR-037,"Para MEI, a queixa número um é a ausência de renda fixa: dias bons e ruins se alternam sem aviso, com a jornada dupla ainda presente.",pequenas empreendedoras,dinheiro no bolso,MEI,achado,indício,restrita,não,sim,-,,-,18,D01
D01-TR-040,Há sensação de melhoria quando algo reduz o risco financeiro.,pequenas empreendedoras,dinheiro no bolso,MEI,funciona,-,restrita,não,sim,-,,-,18,D01
D01-TR-043,"Para beneficiárias, os estigmas são sentidos diariamente; tratar a beneficiária como gestora, não como suspeita, desarma a disputa moral sobre dependência quando a comunicação mostra a mulher explicando o peso de cada escolha.",mulheres beneficiárias,dinheiro no bolso,transferência de renda*,funciona,-,restrita,não,não,-,,-,21,D01
D01-TR-045,"Para MEI, o problema é a instabilidade: tem mês bom e mês ruim, sem garantias fixas.",pequenas empreendedoras,dinheiro no bolso,MEI,achado,indício,restrita,não,não,D01-TR-037,,-,21,D01
D01-TR-100,"Jovens votam menos e confiam menos na democracia como melhor regime: apenas 42% dos jovens de 16 a 29 anos, contra 47% dos adultos de 30+.",jovens,engajamento cívico,confiança nas instituições*,contexto,-,restrita,não,não,-,,-,37,D01
D01-TR-101,"O eleitorado de 16 a 18 anos encolheu 14,5% desde 2022, justamente o grupo que deveria estar entrando no jogo eleitoral.",jovens,engajamento cívico,participação eleitoral*,contexto,-,restrita,não,não,-,,-,37,D01
D01-TR-105,"Jovens são cobrados como adultos, mas desqualificados como jovens: um padrão forte é a irritação com estereótipos de jovem irresponsável, geração que não quer trabalhar, gente sem experiência ou sem propriedade para opinar.",jovens,engajamento cívico,juventude e trabalho*,achado,forte,restrita,não,não,-,,-,38,D01
D01-TR-106,"O jovem não rejeita política, mas sim polarização, promessa, briga e teatro eleitoral: a conversa política circula mais dentro de casa ou entre pessoas com posições parecidas; fora desse círculo, falar de política vira risco de briga ou julgamento.",jovens,engajamento cívico,participação política*,achado,indício,restrita,não,não,-,,-,38,D01
D01-TR-107,"Reconhecer esforço, cansaço e pressão antes de pedir esperança, participação ou voto.",jovens,engajamento cívico,participação política*,funciona,-,restrita,não,não,-,,-,38,D01
D01-TR-134,"A política só ganha relevância quando encosta na régua de viabilidade: aliviar pressão, ampliar estabilidade, proteger quem importa e transformar planos em possibilidade real.",jovens,engajamento cívico,participação política*,achado,indício,restrita,não,não,-,,-,51,D01
D01-TR-135,"Pautas interessam, eleição cansa.",jovens,engajamento cívico,participação política*,achado,indício,restrita,não,não,-,,-,52,D01
D01-TR-136,"O jovem não rejeita política, mas sim polarização, promessa, briga e teatro eleitoral.",jovens,engajamento cívico,participação política*,achado,indício,restrita,não,não,D01-TR-106,,-,52,D01
D01-TR-137,"O voto importa, mas precisa deixar de parecer só obrigação.",jovens,engajamento cívico,decisão de voto*,achado,indício,restrita,não,não,-,,-,53,D01
D01-TR-138,"O voto é escolha, não necessariamente esperança.",jovens,engajamento cívico,decisão de voto*,achado,indício,restrita,não,não,-,,-,53,D01
D01-TR-139,Indecisão não é ignorância: é um processo de avaliação em um cenário de baixa confiança.,jovens,engajamento cívico,decisão de voto*,achado,indício,restrita,não,não,-,,-,53,D01
D01-TR-140,"O voto tem potência, mas não se sustenta como chamado moral: precisa aparecer como escolha com consequência concreta — quem protege, quem ameaça, quem entrega, quem bloqueia e o que muda na vida depois da eleição.",jovens,engajamento cívico,decisão de voto*,funciona,-,restrita,não,não,-,,-,53,D01
D01-TR-141,"""Jovem tem poder"" só funciona quando mostra onde esse poder age.",jovens,engajamento cívico,participação política*,funciona,-,restrita,não,sim,-,,-,54,D01
D01-TR-142,"Valorizar a capacidade de avaliação dos jovens sem infantilizá-los: o tom não deve ser ""vocês são o futuro"", mas ""vocês já vivem as consequências e sabem reconhecer o que pesa"".",jovens,engajamento cívico,participação política*,funciona,-,restrita,não,sim,-,,-,54,D01
D03-TR-057,"Entre jovens de 16 e 17 anos, 23,5% já tiraram o título de eleitor. A proporção é maior no Nordeste (28,0%) e no Sul (27,6%) e menor no Sudeste (15,4%).",jovens,engajamento cívico,título de eleitor*,achado,indício,geral,não,não,---,,---,50,D03
D03-TR-058,"Entre jovens de 16 e 17 anos que ainda não tiraram o título de eleitor, 94,2% pretendem tirar o documento e votar na próxima eleição.",jovens,engajamento cívico,participação eleitoral*,achado,indício,geral,não,não,---,,---,51,D03
D03-TR-059,"Entre pessoas com 70 anos ou mais, para quem o voto é facultativo, 74,4% pretendem votar na próxima eleição. A intenção de participação é maior no Norte (80,9%) e no Nordeste (78,6%) e menor no Sul (66,6%).",idosos,engajamento cívico,participação eleitoral*,achado,indício,geral,não,não,---,,---,53,D03
D04-TR-010,"Na macronarrativa Engajamento Cívico, a narrativa central para o público jovem vai do jovem como alvo da disputa ao jovem como sujeito competente da escolha.",jovens,engajamento cívico,*participação política,achado,indício,restrita,,,,,,8,D04
D04-TR-011,"O engajamento deixa de ser cobrança para virar competência cívica: entender, checar, comparar, escolher, participar e cobrar a partir da própria vida.",jovens,engajamento cívico,*participação política,achado,indício,restrita,,,,,,8,D04
D04-TR-012,"A comunicação sobre engajamento precisa dar repertório sem tutelar: aproximar a política da vida real, reduzir ruído, evitar moralização e mostrar formas graduais de participação.",jovens,engajamento cívico,*participação política,funciona,,restrita,,,,,,8,D04
D04-TR-124,"Para o público jovem, participar não é escolher um lado o tempo todo: é conseguir decidir sem virar alvo da disputa.",jovens,engajamento cívico,*participação política,achado,indício,restrita,,,,,,29,D04
D04-TR-125,"O jovem não deve ser lido como apático: ele avalia a política a partir de efeitos concretos sobre trabalho, dinheiro, família, segurança e futuro.",jovens,engajamento cívico,*critérios de escolha,achado,indício,restrita,,,,,,29,D04
D04-TR-126,"Muitos jovens já carregam responsabilidades adultas, mas ainda estão formando repertório político e critérios de escolha.",jovens,engajamento cívico,*participação política,achado,indício,restrita,,,,,,29,D04
D04-TR-127,A política mobiliza o jovem quando parece melhorar a vida.,jovens,engajamento cívico,*participação política,funciona,,restrita,,,,,,29,D04
D04-TR-128,"A política afasta quando vem como promessa abstrata, julgamento moral ou obrigação de posicionamento.",jovens,engajamento cívico,*participação política,afasta,,restrita,,,,,,29,D04
D04-TR-129,"A representação importa quando o jovem sente que sua realidade, identidade ou causa aparece na política.",jovens,engajamento cívico,*representação política,achado,indício,restrita,,,,,,29,D04
D04-TR-130,"A política aparece misturada ao feed: entretenimento, meme, trend, cultura pop, futebol, checagem e opinião circulam juntos.",jovens,engajamento cívico,*consumo de informação,achado,indício,restrita,,,,,,29,D04
D04-TR-131,"Conteúdos curtos, relatos, memes e vídeos de identificação ajudam a traduzir política em linguagem reconhecível e compartilhável.",jovens,engajamento cívico,*formatos e linguagem,funciona,,restrita,,,,,,29,D04
D04-TR-132,"O digital estimula a expressão, mas também a ansiedade de exposição; não se posicionar pode aparecer como forma de evitar conflito.",jovens,engajamento cívico,*polarização,achado,indício,restrita,,,,,,29,D04
D05-TR-038,"Entre as MEI (grupos 1 e 2), há presença maior de aplicativos de benefício, como FGTS e CAIXA Tem.",pequenas empreendedoras,dinheiro no bolso,benefícios sociais*,achado,indício,restrita,não,não,,,,10,D05
D05-TR-078,"Entre as MEI, o que mais distingue a presença em tela em relação às CLT e informais são aplicativos de benefício, de marketplace e a loja de aplicativos.",pequenas empreendedoras,dinheiro no bolso,uso de aplicativos*,achado,indício,restrita,não,não,,,,11,D05
D05-TR-079,"Entre as MEI, o trio FGTS, CAIXA Tem e Nubank aparece junto nas telas.",pequenas empreendedoras,dinheiro no bolso,benefícios sociais*,achado,indício,restrita,não,não,,,,11,D05
D09-TR-009,"O estado geral da saúde e a autoimagem física são os pilares sobre os quais se estruturam a autonomia, a socialização e o exercício da cidadania.",idosos,engajamento cívico,*saúde do idoso,achado,indício,restrita,não,não,,,,5,D09
D09-TR-010,Há correlação direta entre bem-estar físico e sentimento de utilidade e participação social.,idosos,engajamento cívico,*saúde do idoso,achado,indício,restrita,não,não,D09-TR-009,,,5,D09
D09-TR-058,"""Eu conversava muito mais, era o meu marido, porque ele falava direto de política, aí a gente conversava. Agora eu não tenho mais, não converso mais com ninguém.""",idosos,engajamento cívico,*solidão e depressão,verbatim,,restrita,não,não,,,,10,D09
D09-TR-059,"Entre os participantes deste estudo, há convergência quanto à percepção de que os idosos merecem ser mais bem tratados e respeitados pela sociedade e pela política em geral.",idosos,engajamento cívico,*respeito ao idoso,achado,forte,restrita,não,não,,,,11,D09
D09-TR-067,"""Eu gostaria de ser reconhecida pelos poderes públicos. Um plano de saúde a gente não pode pagar. Mas eu gostaria que os políticos criassem uma situação para a gente, idosos, ter uma vida melhor.""",idosos,engajamento cívico,*respeito ao idoso,verbatim,,restrita,não,não,,,,12,D09
D09-TR-073,Viver uma vida longa significa ter atravessado diferentes realidades políticas e vivenciado momentos de esperança e de medo.,idosos,engajamento cívico,*memória política,contexto,,restrita,não,não,,,,13,D09
D09-TR-074,"Entre os participantes deste estudo, falar em política no contexto do processo eleitoral que se aproxima traz à tona um espectro emocional dominado por desânimo, fadiga e desconfiança.",idosos,engajamento cívico,*desânimo eleitoral,achado,indício,restrita,não,não,,,,13,D09
D09-TR-075,"Parte expressiva dos entrevistados relata apatia e perda de entusiasmo cívico, admitindo que o processo eleitoral se tornou cansativo e repetitivo.",idosos,engajamento cívico,*desânimo eleitoral,achado,indício,restrita,não,não,,,,13,D09
D09-TR-076,A expressão desiludido com os políticos surge como padrão verbal recorrente.,idosos,engajamento cívico,*desânimo eleitoral,achado,forte,restrita,não,não,,,,13,D09
D09-TR-077,"A postura de proximidade física e afetiva adotada apenas durante o período de campanha, seguida do afastamento do eleitor comum, é lida como cinismo e alimenta a desilusão.",idosos,engajamento cívico,*promessas não cumpridas,afasta,,restrita,não,não,,,,13,D09
D09-TR-078,O sentimento de fadiga está associado à percepção de que nada muda apesar de anos sucessivos de promessas.,idosos,engajamento cívico,*promessas não cumpridas,achado,indício,restrita,não,não,,,,13,D09
D09-TR-079,"Há reconhecimento de que algumas coisas melhoraram em gestões anteriores, mas o descumprimento de promessas segue sendo a marca atribuída aos políticos brasileiros, o que alimenta a pergunta sobre por que continuar votando.",idosos,engajamento cívico,*promessas não cumpridas,achado,indício,restrita,sim,não,,,,13,D09
D09-TR-080,"""Eu penso que eles vêm, prometem um rio de coisas... chega na hora, estão lá bem instaladinhos e nada fazem. Para mim é tudo farinha do mesmo saco.""",idosos,engajamento cívico,*promessas não cumpridas,verbatim,,restrita,não,não,,,,13,D09
D09-TR-081,"""Eles prometem tudo, abraça todo mundo, vai lá no meio do público abraçar todo mundo e todo mundo confia. Só que depois que passa tudo isso, vai procurar um deles? Eles não conhecem a gente.""",idosos,engajamento cívico,*promessas não cumpridas,verbatim,,restrita,não,não,,,,13,D09
D09-TR-082,"""Os velhos já estão revoltados, porque todos que entram não fazem nada. O tempo passa e é sempre a mesma coisa. E ouço eles falarem a mesma coisa desde que era jovem.""",idosos,engajamento cívico,*desânimo eleitoral,verbatim,,restrita,não,não,,,,13,D09
D09-TR-083,A transição do voto obrigatório para o voto facultativo após os 70 anos é vivenciada a partir de sentimentos conflitantes.,idosos,engajamento cívico,*voto facultativo,achado,indício,restrita,não,não,,,,14,D09
D09-TR-084,"O caráter facultativo da lei é percebido como alívio cívico e conquista de liberdade individual, permitindo o descanso após décadas de cumprimento rigoroso de obrigações eleitorais.",idosos,engajamento cívico,*voto facultativo,achado,indício,restrita,não,não,,,,14,D09
D09-TR-085,"A comodidade do descanso confronta-se diretamente com um sentimento profundo de dever moral, de exercício da cidadania e de participação política construídos ao longo da vida ativa.",idosos,engajamento cívico,*voto facultativo,achado,indício,restrita,não,não,,,,15,D09
D09-TR-086,"Parte dos entrevistados manifesta alívio diante do fim da obrigatoriedade, tomado como licença para o descanso após décadas de cumprimento do dever de votar.",idosos,engajamento cívico,*voto facultativo,achado,indício,restrita,não,não,,,,15,D09
D09-TR-087,"O flerte com a abstenção é acentuado pelo cansaço diante de promessas não cumpridas, pela sensação de corrupção generalizada e pela percepção de estagnação nacional de longo prazo.",idosos,engajamento cívico,*desânimo eleitoral,afasta,,restrita,não,não,,,,15,D09
D09-TR-088,O caráter facultativo do voto funciona como válvula de escape legítima para a frustração e a apatia política acumuladas.,idosos,engajamento cívico,*voto facultativo,achado,indício,restrita,não,não,,,,15,D09
D09-TR-089,"Em oposição à tentação do desinteresse, manifesta-se uma barreira moral sólida e persistente contra o absenteísmo: a autoimagem de cidadão ativo e responsável.",idosos,engajamento cívico,*dever cívico,achado,indício,restrita,não,não,,,,15,D09
D09-TR-090,"Para parcela significativa dos participantes, o ato de votar é indissociável da dignidade como cidadão e da identidade histórica construída ao longo da vida.",idosos,engajamento cívico,*dever cívico,achado,indício,restrita,não,não,,,,15,D09
D09-TR-091,"O comparecimento às urnas é descrito com orgulho e prazer, considerado não uma obrigação, mas um direito soberano conquistado que deve ser exercido com honra e vaidade.",idosos,engajamento cívico,*dever cívico,funciona,,restrita,não,não,,,,15,D09
D09-TR-092,O ritual de arrumar-se para o dia da votação é acionado como componente de prazer e afirmação pessoal no comparecimento.,idosos,engajamento cívico,*ritual do dia da eleição,funciona,,restrita,não,não,,,,15,D09
D10-TR-004,"Na macronarrativa de proteção da família, a narrativa central vai da ameaça à vida protegida e aberta ao futuro.",mulheres beneficiárias,proteção da família,*narrativa central,achado,indício,restrita,não,não,,,,8,D10
D10-TR-005,"A transformação semiótica da proteção da família parte da experiência disfórica da vulnerabilidade para a experiência eufórica de uma vida mais segura, em que proteção, previsibilidade e cuidado efetivo permitem respirar, planejar e sonhar.",mulheres beneficiárias,proteção da família,*percurso disforia euforia,achado,indício,restrita,não,não,,,,8,D10
D10-TR-006,"O cuidado precisa sair da promessa e aparecer como proteção concreta: resolver, orientar, acolher, responder e reduzir riscos reais.",mulheres beneficiárias,proteção da família,*cuidado concreto,funciona,,restrita,não,não,,,,8,D10
D10-TR-007,"Um dos territórios de comunicação previstos para a proteção da família é ""cuidado que transforma a vida real"".",mulheres beneficiárias,proteção da família,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-008,"Um dos territórios de comunicação previstos para a proteção da família é ""mãe que protege e abre futuro"".",mulheres beneficiárias,proteção da família,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-009,"Um dos territórios de comunicação previstos para a proteção da família é ""rede para cuidar de quem cuida"".",mulheres beneficiárias,proteção da família,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-010,"Um dos territórios de comunicação previstos para a proteção da família é ""defesa da vida sem promessa vazia"".",mulheres beneficiárias,proteção da família,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-011,"Um dos territórios de comunicação previstos para a proteção da família é ""direito de sonhar além da sobrevivência"".",mulheres beneficiárias,proteção da família,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-012,"Na macronarrativa de engajamento cívico, a narrativa central vai da representação distante ao protagonismo cotidiano.",mulheres beneficiárias,engajamento cívico,*narrativa central,achado,indício,restrita,não,não,,,,8,D10
D10-TR-013,"O deslocamento semiótico do engajamento cívico é enunciativo: sair do ""eles, lá"" da política institucional para o ""eu, tu, aqui"" da experiência vivida, produzindo proximidade, voz e participação.",mulheres beneficiárias,engajamento cívico,*percurso disforia euforia,achado,indício,restrita,não,não,,,,8,D10
D10-TR-014,"A política só se aproxima quando deixa de ser ""eles lá"" e passa a ser ""eu, tu, aqui"": rotina, direitos, escolha, cobrança e participação.",mulheres beneficiárias,engajamento cívico,*participação cotidiana,funciona,,restrita,não,não,,,,8,D10
D10-TR-015,"Um dos territórios de comunicação previstos para o engajamento cívico é ""minha rotina também é política"".",mulheres beneficiárias,engajamento cívico,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-017,"Um dos territórios de comunicação previstos para o engajamento cívico é ""da voz que reclama à voz que cobra"".",mulheres beneficiárias,engajamento cívico,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-018,"Um dos territórios de comunicação previstos para o engajamento cívico é ""representação com participação"".",mulheres beneficiárias,engajamento cívico,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-019,"Um dos territórios de comunicação previstos para o engajamento cívico é ""coletividade que dá coragem"".",mulheres beneficiárias,engajamento cívico,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-020,"Na macronarrativa de dinheiro no bolso, a narrativa central vai do aperto ao controle possível sobre o mês.",mulheres beneficiárias,dinheiro no bolso,*narrativa central,achado,indício,restrita,não,não,,,,8,D10
D10-TR-021,"A transformação semiótica do dinheiro no bolso vai da disjunção com estabilidade, escolha e previsibilidade para a conjunção com competências de organização, priorização e domínio mínimo sobre o mês.",mulheres beneficiárias,dinheiro no bolso,*percurso disforia euforia,achado,indício,restrita,não,não,,,,8,D10
D10-TR-022,"O dinheiro não deve ser narrado como fartura, mas como estabilidade mínima: organizar, priorizar, pagar, reservar, cuidar e planejar.",mulheres beneficiárias,dinheiro no bolso,*orçamento doméstico,funciona,,restrita,não,não,,,,8,D10
D10-TR-023,"Um dos territórios de comunicação previstos para dinheiro no bolso é ""o mês na mão dela"".",mulheres beneficiárias,dinheiro no bolso,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-024,"Um dos territórios de comunicação previstos para dinheiro no bolso é ""cada real vira cuidado"".",mulheres beneficiárias,dinheiro no bolso,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-025,"Um dos territórios de comunicação previstos para dinheiro no bolso é ""respiro sem ilusão de fartura"".",mulheres beneficiárias,dinheiro no bolso,*território de comunicação,contexto,,restrita,não,sim,,,,8,D10
D10-TR-026,"Um dos territórios de comunicação previstos para dinheiro no bolso é ""beneficiária não é suspeita, é gestora"".",mulheres beneficiárias,dinheiro no bolso,*estigma do benefício,contexto,,restrita,não,sim,,,,8,D10
D10-TR-027,"Um dos territórios de comunicação previstos para dinheiro no bolso é ""acesso simples também é dinheiro no bolso"".",mulheres beneficiárias,dinheiro no bolso,*acesso a serviços,contexto,,restrita,não,sim,,,,8,D10
D10-TR-028,Cuidar significa proteger a vida concreta e também devolver a essas mulheres o direito de fazer planos.,mulheres beneficiárias,proteção da família,*cuidado concreto,funciona,,restrita,não,não,,,,10,D10
D10-TR-029,"A proteção é medida na rotina: comida, gás, luz, remédio, escola, segurança, benefício que cai na data e regra clara.",mulheres beneficiárias,proteção da família,*proteção na rotina,achado,indício,restrita,não,não,,,,10,D10
D10-TR-030,"O cuidado só é reconhecido quando reduz a carga de quem sustenta a casa, o que vai muito além da dimensão financeira.",mulheres beneficiárias,proteção da família,*sobrecarga do cuidado,achado,indício,restrita,não,não,,,,10,D10
D10-TR-031,"A mulher aparece como quem organiza, antecipa riscos, administra o orçamento e transforma políticas públicas em proteção real para os filhos.",mulheres beneficiárias,proteção da família,*protagonismo do cuidado,achado,indício,restrita,não,não,,,,10,D10
D10-TR-032,"Na conversa digital, a proteção se amplia para a defesa da vida, abrangendo feminicídio, crianças nas telas, mães atípicas, saúde mental, BPC/LOAS, CRAS e falhas no atendimento na ponta.",mulheres beneficiárias,proteção da família,*defesa da vida,achado,indício,restrita,não,não,,,,10,D10
D10-TR-033,"Nas redes, mulheres aparecem buscando informação, denunciando falhas, formando redes de apoio e expressando medo, desamparo, cansaço e desejo de segurança.",mulheres beneficiárias,proteção da família,*rede de apoio,achado,indício,restrita,não,não,,,,10,D10
D10-TR-034,"A macronarrativa deve sair do ""governo que cuida"" como promessa e entrar no ""cuidado que permite viver melhor"": resolver, orientar, proteger e abrir futuro.",mulheres beneficiárias,proteção da família,*cuidado concreto,funciona,,restrita,não,não,D10-TR-006,,,10,D10
D10-TR-035,"O território mais forte é colocar essa mulher no centro, não como quem apenas recebe cuidado, mas como quem faz o cuidado acontecer e precisa de condições para sonhar além da sobrevivência.",mulheres beneficiárias,proteção da família,*protagonismo do cuidado,funciona,,restrita,não,não,,,,10,D10
D10-TR-036,"A proteção da família se organiza em narrativas mais eufóricas ou disfóricas, oscilando entre a contenção do risco e a possibilidade de futuro.",mulheres beneficiárias,proteção da família,*percurso disforia euforia,achado,indício,restrita,não,não,D10-TR-005,,,11,D10
D10-TR-037,"Vida, proteção, segurança e direito de sonhar estruturam a dimensão eufórica da narrativa de proteção da família.",mulheres beneficiárias,proteção da família,*percurso disforia euforia,achado,indício,restrita,não,não,,,,11,D10
D10-TR-038,"Proteger a família significa garantir filhos vivos, alimentados, seguros, estudando e com possibilidade de futuro.",mulheres beneficiárias,proteção da família,*proteção na rotina,achado,indício,restrita,não,não,,,,11,D10
D10-TR-039,"A maternidade aparece como missão de sustentação e abertura de futuro: administra-se risco, orçamento e rotina, mas também se busca criar condições para respirar, planejar e sonhar além da sobrevivência.",mulheres beneficiárias,proteção da família,*maternidade e futuro,achado,indício,restrita,não,não,,,,11,D10
D10-TR-040,"Casa, filho, comida, gás, luz, remédio, escola, celular, CRAS, aplicativo e benefício funcionando são as figuras que tornam visível o cuidado que protege e permite avançar.",mulheres beneficiárias,proteção da família,*proteção na rotina,exemplo,,restrita,não,não,,,,11,D10
D10-TR-041,"Medo, falha, luta e desamparo estruturam a dimensão disfórica da narrativa de proteção da família.",mulheres beneficiárias,proteção da família,*percurso disforia euforia,achado,indício,restrita,não,não,,,,11,D10
D10-TR-043,"A proteção aparece como sobrevivência sob pressão e contenção do pior, exigindo esforço contínuo diante de burocracia, incerteza, violência e falta de acesso a serviços e informação confiável.",mulheres beneficiárias,proteção da família,*sobrecarga do cuidado,achado,indício,restrita,não,não,,,,11,D10
D10-TR-044,"Fila, sistema fora do ar, benefício cortado, criança na tela, mãe atípica, medida protetiva e rede de mulheres tensionada são as figuras que mostram onde a promessa de cuidado falha ou é colocada à prova.",mulheres beneficiárias,proteção da família,*burocracia e atendimento,exemplo,,restrita,não,não,,,,11,D10
D10-TR-045,A proteção da família deve ser narrada como uma travessia entre disforia e euforia.,mulheres beneficiárias,proteção da família,*percurso disforia euforia,funciona,,restrita,não,não,,,,12,D10
D10-TR-046,"Os antissujeitos do percurso narrativo da proteção são violência, bloqueio, fila, desinformação, insegurança e falhas de acesso.",mulheres beneficiárias,proteção da família,*antissujeitos da proteção,achado,indício,restrita,não,não,,,,12,D10
D10-TR-047,"O objeto de valor do percurso narrativo da proteção é uma vida mais segura, previsível e aberta ao futuro.",mulheres beneficiárias,proteção da família,*objeto de valor,achado,indício,restrita,não,não,,,,12,D10
D10-TR-048,"Nesse percurso, a mulher é a protagonista: cuida, decide, busca direitos, aciona redes e transforma acesso em proteção concreta.",mulheres beneficiárias,proteção da família,*protagonismo do cuidado,achado,indício,restrita,não,não,D10-TR-031,,,12,D10
D10-TR-084,A política só se aproxima quando deixa de ser disputa entre líderes e passa a ser possibilidade concreta de melhorar a vida.,mulheres beneficiárias,engajamento cívico,*participação cotidiana,funciona,,restrita,não,não,,,,20,D10
D10-TR-085,A oportunidade narrativa está em reposicionar o engajamento cívico como competência cotidiana dessas mulheres.,mulheres beneficiárias,engajamento cívico,*participação cotidiana,funciona,,restrita,não,não,,,,20,D10
D10-TR-086,O voto não é apresentado como troca pelo programa de transferência de renda recebido.,mulheres beneficiárias,engajamento cívico,*voto e direitos,achado,indício,restrita,sim,não,,,,20,D10
D10-TR-087,"A decisão política é justificada por critérios mais amplos que o benefício: custo de vida, saúde dos filhos, acesso a direitos, segurança e melhora concreta da rotina.",mulheres beneficiárias,engajamento cívico,custo de vida,achado,indício,restrita,não,não,,,,20,D10
D10-TR-088,"Há reconhecimento de avanços e, ao mesmo tempo, forte frustração com promessas que não chegam na ponta.",mulheres beneficiárias,engajamento cívico,*promessa e entrega,achado,indício,restrita,não,não,,,,20,D10
D10-TR-090,"Na escuta digital, o engajamento cívico aparece fortemente associado à política institucional, às lideranças nacionais, à polarização e ao sentimento de representação.",mulheres beneficiárias,engajamento cívico,*representação política,achado,indício,restrita,não,não,,,,20,D10
D10-TR-092,Pertencimento e identificação mobilizam a conversa cívica.,mulheres beneficiárias,engajamento cívico,*representação política,funciona,,restrita,não,não,,,,20,D10
D10-TR-093,"O enquadramento por pertencimento pode aprisionar a conversa na lógica de ""nós contra eles"".",mulheres beneficiárias,engajamento cívico,*polarização política,afasta,,restrita,não,não,,,,20,D10
D10-TR-094,A polarização gera engajamento.,mulheres beneficiárias,engajamento cívico,*polarização política,achado,indício,restrita,não,não,,,,20,D10
D10-TR-095,"A polarização aumenta o risco de afastamento, rejeição e leitura de doutrinação.",mulheres beneficiárias,engajamento cívico,*polarização política,afasta,,restrita,não,não,,,,20,D10
D10-TR-096,"A comunicação precisa deslocar o engajamento do campo da torcida política para o campo da experiência vivida: participar, votar, cobrar e opinar devem aparecer como formas de defender direitos e melhorar a vida real.",mulheres beneficiárias,engajamento cívico,*participação cotidiana,funciona,,restrita,não,não,,,,20,D10
